Gender,Age,Annual Income (k$),Spending Score (1-100),Segment
Female,66,63,50,Mature Moderate Spenders
Male,54,63,46,Mature Moderate Spenders
Male,68,63,43,Mature Moderate Spenders
Male,66,63,48,Mature Moderate Spenders
Male,65,63,52,Mature Moderate Spenders
Female,19,63,54,Young Average Spenders
Female,38,64,42,Young Average Spenders
Male,19,64,46,Young Average Spenders
Female,18,65,48,Young Average Spenders
Female,19,65,50,Young Average Spenders
Female,63,65,43,Mature Moderate Spenders
Female,49,65,59,Mature Moderate Spenders
Female,51,67,43,Mature Moderate Spenders
Female,50,67,57,Mature Moderate Spenders
Male,27,67,56,Young Average Spenders
Female,38,67,40,Young Average Spenders
Female,40,69,58,Young Average Spenders
Male,39,69,91,Wealthy Big Spenders
Female,23,70,29,Young Average Spenders
Female,31,70,77,Wealthy Big Spenders
Male,43,71,35,Frugal High Earners
Male,40,71,95,Wealthy Big Spenders
Male,59,71,11,Frugal High Earners
Male,38,71,75,Wealthy Big Spenders
Male,47,71,9,Frugal High Earners
Male,39,71,75,Wealthy Big Spenders
Female,25,72,34,Young Average Spenders
Female,31,72,71,Wealthy Big Spenders
Male,20,73,5,Young Average Spenders
Female,29,73,88,Wealthy Big Spenders
Female,44,73,7,Frugal High Earners
Male,32,73,73,Wealthy Big Spenders
Male,19,74,10,Young Average Spenders
Female,35,74,72,Wealthy Big Spenders
Female,57,75,5,Frugal High Earners
Male,32,75,93,Wealthy Big Spenders
Female,28,76,40,Young Average Spenders
Female,32,76,87,Wealthy Big Spenders
Male,25,77,12,Young Average Spenders
Male,28,77,97,Wealthy Big Spenders
Male,48,77,36,Frugal High Earners
Female,32,77,74,Wealthy Big Spenders
Female,34,78,22,Frugal High Earners
Male,34,78,90,Wealthy Big Spenders
Male,43,78,17,Frugal High Earners
Male,39,78,88,Wealthy Big Spenders
Female,44,78,20,Frugal High Earners
Female,38,78,76,Wealthy Big Spenders
Female,47,78,16,Frugal High Earners
Female,27,78,89,Wealthy Big Spenders
Male,37,78,1,Frugal High Earners
Female,30,78,78,Wealthy Big Spenders
Male,34,78,1,Frugal High Earners
Female,30,78,73,Wealthy Big Spenders
Female,56,79,35,Mature Moderate Spenders
Female,29,79,83,Wealthy Big Spenders
Male,19,81,5,Young Average Spenders
Female,31,81,93,Wealthy Big Spenders
Male,50,85,26,Frugal High Earners
Female,36,85,75,Wealthy Big Spenders
Male,42,86,20,Frugal High Earners
Female,33,86,95,Wealthy Big Spenders
Female,36,87,27,Frugal High Earners
Male,32,87,63,Wealthy Big Spenders
Male,40,87,13,Frugal High Earners
Male,28,87,75,Wealthy Big Spenders
Male,36,87,10,Frugal High Earners
Male,36,87,92,Wealthy Big Spenders
Female,52,88,13,Frugal High Earners
Female,30,88,86,Wealthy Big Spenders
Male,58,88,15,Frugal High Earners
Male,27,88,69,Wealthy Big Spenders
Male,59,93,14,Frugal High Earners
Male,35,93,90,Wealthy Big Spenders
Female,37,97,32,Frugal High Earners
Female,32,97,86,Wealthy Big Spenders
Male,46,98,15,Frugal High Earners
Female,29,98,88,Wealthy Big Spenders
Female,41,99,39,Frugal High Earners
Male,30,99,97,Wealthy Big Spenders
Female,54,101,24,Frugal High Earners
Male,28,101,68,Wealthy Big Spenders
Female,41,103,17,Frugal High Earners
Female,36,103,85,Wealthy Big Spenders
Female,34,103,23,Frugal High Earners
Female,32,103,69,Wealthy Big Spenders
Male,33,113,8,Frugal High Earners
Female,38,113,91,Wealthy Big Spenders
Female,47,120,16,Frugal High Earners
Female,35,120,79,Wealthy Big Spenders
Female,45,126,28,Frugal High Earners
Male,32,126,74,Wealthy Big Spenders
Male,32,137,18,Frugal High Earners
Male,30,137,83,Wealthy Big Spenders
